,unique_values,counts
1358,Benito,20
1359,Erdenheim,20
1360,SOUTH JERSEY,20
1361,Naegleria,20
1362,Bridge Street,20
1363,Weidl,20
1364,Curtin,20
1365,pre-K,20
1366,colonies,20
1367,Kent County,20
1368,The Dominican Republic,20
1369,Coahuila,20
1370,Rocky,20
1371,Key West,20
1372,East Mount Airy,20
1373,Sundheim,20
1374,Oliver,20
1375,Osuna,20
1376,Erie Avenue,20
1377,Tyreek Hill,20
1378,Aston,20
1379,Abington,20
1380,Gwinnett County,19
1381,Mendon,19
1382,South Beach,19
1383,Tommee,19
1384,Memorial Day Weekend,19
1385,Sao Paulo,19
1386,Wake County,19
1387,Msgr,19
1388,Historic District,19
1389,Falls Township,19
1390,Route 206,19
1391,Tunisia,19
1392,Kickstarter,19
1393,Willingboro,19
1394,Ashland,19
1395,City Hall’s,19
1396,The Same Time,19
1397,Manchester,19
1398,Norris Square Park,19
1399,Medela,19
1400,Havertown,19
1401,Buenos Aires,19
1402,Smyrna,19
1403,Uzma,19
1404,Kaysville,19
1405,Kuwait,19
1406,Pattison Avenue,19
1407,Keaton Beach,19
1408,Northern Virginia,19
1409,Kazakhstan,19
1410,Rancho Cordova,19
1411,North Shore Congregation,19
1412,Nev.,19
1413,Redfin,19
1414,West Cape May,19
1415,Levittown,19
1416,Okla.,19
1417,the Hard Rock,19
1418,Richardson,19
1419,Sharswood,19
1420,Sheremetyevo International Airport,19
1421,Haverford,19
1422,San Angelo,19
1423,the Governor of,19
1424,Monroe,19
1425,Creighton Street,19
1426,Love Field Airport,19
1427,Silver Spring,19
1428,Kherson,19
1429,Catalonia,19
1430,NEWARK,19
1431,Bay Area,19
1432,Erie County,19
1433,​​and,19
1434,Griffin,19
1435,Sudan,19
1436,Nayarit,19
1437,the Atlantic City Expressway,19
1438,Hayward Field,19
1439,Bethesda,19
1440,Penelope,19
1441,Whitpain Township,19
1442,Washington Crossing,19
1443,Estonia,19
1444,Cerocahui,19
1445,Reston,19
1446,RM,19
1447,East Fairmount Park,18
1448,Naperville,18
1449,Prosopagnosia,18
1450,Hercules,18
1451,Chestnut,18
1452,Siberia,18
1453,Moorestown,18
1454,the Virgin Islands,18
1455,Chestnut Hill’s,18
1456,Downing Street,18
1457,Petruchio,18
1458,Rajapaksa,18
1459,Central Pennsylvania,18
1460,SAN DIEGO,18
1461,Leon County,18
1462,San Diego’s,18
1463,New Jersey Devils,18
1464,Western Africa,18
1465,Plymouth,18
1466,Lagos,18
1467,the Rose Garden,18
1468,Pina,18
1469,Manayunk,18
1470,the Democratic Republic of the,18
1471,Floyd,18
1472,Angelica,18
1473,Haigler,18
1474,6th Street,18
1475,E.U.,18
1476,Dresden,18
1477,Paddy,18
1478,Wildwood Crest,18
1479,Monmouth,18
1480,Orlando City,18
1481,Caln Township,18
1482,the Mediterranean Sea,18
1483,Juan,18
1484,Dauphin County,18
1485,Peoria,18
1486,Tolle,18
1487,Ridley Creek State Park,18
1488,Fifth Avenue,18
1489,Morena,18
1490,Ariz.,18
1491,Walnut Streets,18
1492,Salem County,18
1493,the Civic Center,18
1494,Writes,18
1495,Wyo.,18
1496,Bremerton,18
1497,Petco Park,18
1498,St,18
1499,Police District,18
1500,the Chesapeake Bay,18
1501,West Side,18
1502,Senegal,18
1503,Halladay,18
1504,Bali,18
1505,Maddon,18
1506,The White House,18
1507,Grammys,18
1508,Puerto Vallarta,18
1509,Ioniq,18
1510,Haddon Township,18
1511,Lehight Valley,18
1512,mulch,18
1513,Jefferson Hospital,18
1514,the Gulf Coast,18
1515,the Northern District,18
1516,Madison Avenue,18
1517,Kenobi,18
1518,the Wawa Welcome America,18
1519,the Whitman Library,17
1520,Pocono,17
1521,Huixtla,17
1522,Citi,17
1523,Tanzania,17
1524,the Taiwan Strait,17
1525,the United States Coast Guard,17
1526,the Rio Grande,17
1527,Paola,17
1528,Martínez,17
1529,Cancer,17
1530,ISLE CITY,17
1531,Fresno County,17
1532,Clearfield,17
1533,Santa Clarita,17
1534,Mendoza,17
1535,New Brunswick,17
1536,Betts,17
1537,Citi Field,17
1538,Middletown Township,17
1539,Pennsport,17
1540,Manchester City,17
1541,North Face,17
1542,DR,17
1543,Sicklerville,17
1544,North Africa,17
1545,the Los Angeles County,17
1546,61st Street,17
1547,Wallace,17
1548,Humboldt Park,17
1549,Chambersburg,17
1550,New Jersey Monitor,17
1551,El Bronx,17
1552,Haddon Heights,17
1553,Moxi,17
1554,Del Rio,17
1555,Greenville,17
1556,United,17
1557,Bunning,17
1558,kimchi,17
1559,Boyle Heights,17
1560,San Ysidro,17
1561,SALT LAKE CITY,17
1562,Icon Park,17
1563,Eastwick,17
1564,Absecon,17
1565,North Broad,17
1566,Zimbabwe,17
1567,Grenada,17
1568,The School District of Philadelphia,17
1569,Diamond Street,17
1570,Prussia,17
1571,San Bernardino County,17
1572,the Ben Franklin Bridge,17
1573,the Rodin Museum,17
1574,Doha,17
1575,Radnor,17
1576,WILDWOOD,17
1577,west Africa,17
1578,Melania,17
1579,Zelenska,17
1580,Chelten Avenue,17
1581,Adtalem,17
1582,Aramingo Avenue,17
1583,the Czech Republic,17
1584,mid-Atlantic,17
1585,Collingdale,17
1586,Rockville,17
1587,Bordentown,17
1588,Phanatic,17
1589,Forbidden Drive,17
1590,turkey,16
1591,Berwyn,16
1592,Bergen County,16
1593,Limerick,16
1594,Pirates,16
1595,Appalachia,16
1596,Calpurnia,16
1597,San Pedro,16
1598,Quito,16
1599,Huntington Beach,16
1600,Pleasantville,16
1601,NEW ORLEANS,16
1602,Carver Street,16
1603,the International Space Station,16
1604,Carlisle,16
1605,Cornell,16
1606,the Mexico Consulate,16
1607,Frida,16
1608,Alps,16
1609,Washington State,16
1610,Sloviansk,16
1611,the Yucatan Peninsula,16
1612,Mount Holly,16
1613,Windsor Castle,16
1614,Cheltenham,16
1615,the Roosevelt Room,16
1616,Laguna Woods,16
1617,Mantua,16
1618,Khost,16
1619,Lemon,16
1620,Knoxville,16
1621,mosques,16
1622,Jennersville,16
1623,Fanckley,16
1624,68th Avenue,16
1625,Augusta,16
1626,West Chester University,16
1627,Waititi,16
1628,Uhre,16
1629,Manor,16
1630,Winston,16
1631,Tarrant County,16
1632,Patagonia,16
1633,Mérida,16
1634,Soviet Union,16
1635,San Diego County,16
1636,ARLINGTON,16
1637,Midtown Village,16
1638,South Sudan,16
1639,Wissahickon Creek,16
1640,Sun,16
1641,Escobar,16
1642,B.A.,16
1643,Eden,16
1644,Delaware Bay,16
1645,the Yosemite National Park,16
1646,Haddonfield,16
1647,the Schuylkill Center for Environmental Education,16
1648,Kumar,16
1649,Lawrenceville,16
1650,South Philly Barbacoa,16
1651,Topps,16
1652,Morris Street,16
1653,AAPI,16
1654,Sondheim,16
1655,McCormick,16
1656,Nice,16
1657,The Mann Center,16
1658,The United Kingdom,16
1659,Harris,16
1660,BB,16
1661,Annabelle,16
1662,Strong,16
1663,the Metropolitan Area,16
1664,The Golden State Warriors,16
1665,Upper East Side,16
1666,Lakeland,16
1667,Benjamin Franklin Parkway,16
1668,Chestnut Streets,16
1669,Rashaan Vereen,16
1670,Marietta,16
1671,Mill Creek,16
1672,8 North America,16
1673,Instance,16
1674,Aaliyah,16
1675,REHOBOTH BEACH,16
1676,Ayala,16
1677,Laurel,16
1678,Hong Kong's,16
1679,Glendale,15
1680,"Washington, DC",15
1681,Anything,15
1682,Neb.,15
1683,Norfolk,15
1684,Round 1,15
1685,Ripley,15
1686,NASHVILLE,15
1687,Revolutionary,15
1688,SACRAMENTO,15
1689,Towson,15
1690,Roseville,15
1691,Shreveport,15
1692,Awbury,15
1693,the Schuylkill Center,15
1694,Yorktown,15
1695,Hoag,15
1696,Oregon State,15
1697,Church Street,15
1698,Lake County State's,15
1699,Greenwood,15
1700,Indiana Avenue,15
1701,Wichita,15
1702,Loughran,15
1703,Lviv,15
1704,Port Royal Avenue,15
1705,Jefferson Avenue,15
1706,Jayland,15
1707,Cancun,15
1708,Wawona,15
1709,CHERRY HILL,15
1710,Raphy Pina,15
1711,Rotunda,15
1712,Palo Alto,15
1713,UC,15
1714,Hatboro,15
1715,Lisbon,15
1716,City Avenue,15
1717,Salsa,15
1718,San Jacinto,15
1719,Bogota,15
1720,Wayne County,15
1721,Brogdon,15
1722,Hillsborough County,15
1723,Evusheld,15
1724,the International Airport,15
1725,the Los Angeles Angels,15
1726,Walnut St.,15
1727,East Passyunk’s,15
1728,West Conshohocken,15
1729,BENSALEM,15
1730,Fogelsville,15
1731,West Erie Avenue,15
1732,the Far Northeast,15
1733,Familia,15
1734,Dallas Love Field Airport,15
1735,Yoruba,15
1736,San Francisco’s,15
1737,Cedar Park,15
1738,the United States’,15
1739,Lee County,15
1740,West Valley City,15
1741,Wash.,15
1742,Narberth,15
1743,Djibouti,15
1744,the Russian Federation,15
1745,RICHMOND,15
1746,Decatur,15
1747,Bradenton,15
1748,Benja,15
1749,East Norriton,15
1750,East Kensington,15
1751,South Street’s,15
1752,Beach,15
1753,Libya,15
1754,Osage Avenue,15
1755,Lake Erie,15
1756,Marcell Ozuna,15
1757,Jayce,15
1758,Lauren,15
1759,Longwood,15
1760,Redwood City,15
1761,Luhansk province,15
1762,Szczecina,15
1763,Hubble,15
1764,El Dorado,15
1765,Schoenfield,15
1766,Main Line,15
1767,Winston-Salem,15
1768,CALIFORNIA,15
1769,Pacific Avenue,15
1770,South Philadelphia’s,15
1771,the Convention Center,15
1772,Medford Lakes,15
1773,Yellowstone National Park,15
1774,Bella Vista,15
1775,Suffolk County,15
1776,Bristol,15
1777,Central,15
1778,South Korea's,15
1779,Haltom City,15
1780,FaZe,15
1781,Chapel Hill,15
1782,Route 542,15
1783,Sarajevo,15
1784,Barbra Streisand,15
1785,Harrah,14
1786,Edgewater Park,14
1787,Midland,14
1788,Eugene,14
1789,Delaware County District,14
1790,Arcadia,14
1791,Harrington,14
1792,Neselovskyi,14
1793,Holmesburg,14
1794,Belgrade,14
1795,Hazleton,14
1796,Malibu,14
1797,Cristiano Ronaldo,14
1798,Julissia,14
1799,Trinidad,14
1800,Alberto,14
1801,Kadri,14
1802,Chattanooga,14
1803,Coastal Highway,14
1804,9th Street,14
1805,West Hollywood,14
1806,Our City,14
1807,West Mount Airy,14
1808,Polk County,14
1809,Plymouth Meeting,14
1810,Jefferson Station,14
1811,the Susquehanna River,14
1812,Florence,14
1813,Heathrow Airport,14
1814,Galloway Township,14
1815,Hearing,14
1816,LaForte,14
1817,Cairo,14
1818,the Fairmount Water Works,14
1819,Golden State,14
1820,Karakung,14
1821,Monmouth County,14
1822,Colima,14
1823,Shannon Crawford,14
1824,Stenton,14
1825,Western Virginia,14
1826,Univision34 Los Angeles,14
1827,the AL West,14
1828,Center City Sips,14
1829,101,14
1830,Andrews Avenue,14
1831,Williamstown,14
1832,Warsaw,14
1833,Furkan Korkmaz,14
1834,Museum,14
1835,Los Angeles Angels,14
1836,Sharpe,14
1837,Upland,14
1838,Queer,14
1839,Rising Sun Avenue,14
1840,the Statue of Liberty,14
1841,Market Square,14
1842,Deptford,14
1843,Newton,14
1844,Westmoreland Street,14
1845,Amman,14
1846,Aspen,14
1847,Laos,14
1848,the Democratic Republic of Congo,14
1849,Marion County,14
1850,Washington Square,14
1851,Magnus,14
1852,Vogue,14
1853,Chico,14
1854,Chalfont,14
1855,Yolo County,14
1856,Hoboken,14
1857,Centerville,14
1858,Verismo,14
1859,Aquarium,14
1860,Gaithersburg,14
1861,Vernon,14
1862,Pleasant Beach,14
1863,Bloomberg,14
1864,Mount Laurel,14
1865,Newport,14
1866,Septa,14
1867,Captain America,14
1868,Old City's,14
1869,Alexandria City,14
1870,Brooklyn Bowl,14
1871,VATICAN CITY,14
1872,Debanhi Escobar,14
1873,Surf City,14
1874,Lucas,14
1875,Oxford Street,14
1876,Fitler Square,14
1877,Lexington Avenue,14
1878,Bogotá,14
1879,Blacks,14
1880,the Cooper River,14
1881,Darío,14
1882,Claymont,14
1883,Jurassic Park,14
1884,Patton,14
1885,Wrigley Field,14
1886,the Pacific Northwest,14
1887,Tegucigalpa,14
1888,Fairless Hills,14
1889,Monster,14
1890,the Rose Bowl,14
1891,Nirvana,14
1892,Town Square,14
1893,Lehigh Avenue,14
1894,Vanya,14
1895,Osaka,14
1896,Upper Roxborough,14
1897,Vet,14
1898,Mingo,13
1899,Kane County,13
1900,Collin County,13
1901,Clem,13
1902,Malvern Prep,13
1903,Pleasant Hill Park,13
1904,North Wales,13
1905,Interstate 676,13
1906,Independence National Historical Park,13
1907,Union,13
1908,Pacino,13
1909,Solano County,13
1910,Rosarito,13
1911,San Lorenzo,13
1912,Houghton Street,13
1913,Parnas,13
1914,South Philly Meadows,13
1915,Superluna,13
1916,Bilbao,13
1917,HOLLYWOOD,13
1918,Elmwood Park,13
1919,Norris Square,13
1920,R.I.,13
1921,Sea,13
1922,South Side,13
1923,Union City,13
1924,21st Street,13
1925,Jimenez,13
1926,Peninsula,13
1927,Burnham,13
1928,Oxford Avenue,13
1929,Balch Springs,13
1930,Hilton,13
1931,Rikers Island,13
1932,Wonderland,13
1933,Nodal,13
1934,Binghamton,13
1935,South Kensington,13
1936,Marchonharrisburg,13
1937,the Brennan Center for Justice,13
1938,Discord,13
1939,the Hudson Valley,13
1940,Verrica,13
1941,Seville,13
1942,Valley Township,13
1943,North Beach,13
1944,Fort Bragg,13
1945,Hatfield Township,13
1946,Magisterial District,13
1947,Round Rock,13
1948,Bar Hygge,13
1949,Manor Township,13
1950,the Rosa de Guadalupe,13
1951,Judiciary,13
1952,3rd District,13
1953,Shesterkin,13
1954,Antarctica,13
1955,Mansfield,13
1956,Zaire,13
1957,CF,13
1958,Cape,13
1959,Byrne Plaza,13
1960,Gillespie,13
1961,the Brooklyn Bridge,13
1962,Alamo,13
1963,MOSCOW,13
1964,North Texas,13
1965,Salt Lake,13
1966,the Phillie Phanatic,13
1967,Atlantic Avenue,13
1968,the Philadelphia Orchestra,13
1969,Gloucester,13
1970,Amador County,13
1971,the Stonewall Inn,13
1972,Beatriz,13
1973,discos,13
1974,Trang,13
1975,Estrada,13
1976,Fifth Street,13
1977,Bahrain,13
1978,Turkmenistan,13
1979,Sonoma,13
1980,Coors Field,13
1981,IOWA,13
1982,Obama,13
1983,Dekalb,13
1984,West Reading,13
1985,Cedar,13
1986,Christiana,13
1987,20th Street,13
1988,Tuskegee,13
1989,Adionion,13
1990,Lower State,13
1991,Adams Avenue,13
1992,San Mateo County,13
1993,Second Street,13
1994,Clearwater,13
1995,University City District,13
1996,Steph,13
1997,Adams County,13
1998,Portofino,13
1999,IL,13
2000,Welsh Road,13
2001,Pocono Raceway,13
2002,the Dnieper River,13
2003,Bar-Levy,13
2004,the South Street Bridge,13
2005,anesthesia,13
2006,Hale,13
2007,West Chester’s,13
2008,Butts,13
2009,the Mayo Clinic,13
2010,Mideast,13
2011,Lake Tahoe,13
2012,Milford,13
2013,Morelia,13
2014,Burrows,13
2015,Voorhees,13
2016,Montgomery,13
2017,Maricopa,13
2018,Rossi,13
2019,Latvia,13
2020,Nordic,13
2021,Berríos,13
2022,the Prudential Center,13
2023,Newark Liberty International Airport,13
2024,North Chicago,13
2025,Egg Harbor Road,13
2026,Contino,13
2027,North Port,13
2028,Kanye,13
2029,Las Vegas Raiders,13
2030,PHOENIX,13
2031,McAllen,13
2032,america,12
2033,Pederson,12
2034,Market East,12
2035,North West,12
2036,Williamson County,12
2037,Rio Grande,12
2038,Wimbledon,12
2039,Vasy,12
2040,Brewers,12
2041,Comcast,12
2042,Kings Highway,12
2043,Sports,12
2044,Riverside Drive,12
2045,Lyles,12
2046,Interstate 76,12
2047,Shrew,12
2048,San Martín,12
2049,Pasco County,12
2050,Delran,12
2051,Suburban Square,12
2052,Tamaulipas,12
2053,Butler Avenue,12
2054,Clarissa Molina,12
2055,Van Nuys,12
2056,Southeast Pennsylvania,12
2057,Brink,12
2058,the Strip District,12
2059,Интернете,12
2060,Inspire,12
2061,Troy,12
2062,Howard County,12
2063,Westminster,12
2064,Rosenbach,12
2065,the José Miguel Agrelot Coliseum,12
2066,Anchorage,12
2067,MEXICO CITY,12
2068,West Passyunk,12
2069,Sephardic,12
2070,the Ocean Drive,12
2071,Tempe,12
2072,Center City's,12
2073,East Oak Lane,12
2074,Spring Hill,12
2075,Key Biscayne,12
2076,Lawnside,12
2077,17th Street,12
2078,THE UNITED STATES,12
2079,San Francisco Bay,12
2080,Goodnaw Street,12
2081,Mekong,12
2082,Hurley,12
2083,Landover,12
2084,Stenton Avenue,12
2085,Lugansk,12
2086,Morgantown,12
2087,Grid,12
2088,12th Street,12
2089,5th District,12
2090,Tvynovelas,12
2091,Balkans,12
2092,the South Philadelphia Stadium District,12
2093,Rhawn Street,12
2094,Michigan Avenue,12
2095,Haywood,12
2096,Wilkes,12
2097,West Nile Virus,12
2098,Adela,12
2099,UConn,12
2100,Main Street Vegan Academy,12
2101,43rd Street,12
2102,New York State Rifle,12
2103,SPRINGFIELD,12
2104,Hiroshima,12
2105,Bears,12
2106,NORRISTOWN,12
2107,Bucs,12
2108,Hernando County,12
2109,Pacific Islander,12
2110,Charania,12
2111,College,12
2112,North Carolina's,12
2113,Jeter,12
2114,Seville Street,12
2115,Broad + Liberty,12
2116,ILLINOIS,12
2117,Vikki,12
2118,Chester County District,12
2119,Central and South America,12
2120,West Chelten Avenue,12
2121,University Park,12
2122,Island,12
2123,Nevada County,12
2124,West Lehigh Avenue,12
2125,Jackson Street,12
2126,Plainfield,12
2127,Kan.,12
2128,La.,12
2129,Vincent,12
2130,Southern New Jersey,12
2131,Roosevelt Mall The Roosevelt Mall Flea Market,12
2132,Hermosillo,12
2133,Borick,12
2134,the Bok Building,12
2135,Estelle,12
2136,Mount Vernon,12
2137,Orange,12
2138,Albrecht,12
2139,Joseph,12
2140,the Western Hemisphere,12
2141,the Lawncrest Recreation Center,12
2142,the American West,12
2143,Kavanaugh,12
2144,Delaware River Waterfront,12
2145,the Upside Down,12
2146,Susquehanna,12
2147,Budapest,12
2148,Pike County,12
2149,Olympic jersey,12
2150,Benner Township,12
2151,Kyrie Irving,12
2152,Pittsburgh City Paper,12
2153,Houston Rockets,12
2154,MINNEAPOLIS,12
2155,Springside Chestnut Hill Academy,12
2156,Belfast,12
2157,West Passyunk Avenue,12
2158,Ulta,12
2159,Ormond Beach,12
2160,Tanios,12
2161,San Francisco Bay Area,12
2162,Wis.,12
2163,North Greenville,12
2164,Baytown,12
2165,Strahle St.,12
2166,18th Street,12
2167,Wissahickon Park,12
2168,Catalina,12
2169,Casas,12
2170,Alvarado,12
2171,Fox Chase,12
2172,Andes,12
2173,Locust Street,12
2174,Vestavia Hills,12
2175,Mount,12
2176,Kulubá,12
2177,Youthphoria,12
2178,J Street,12
2179,DES MOINES,12
2180,Mariachi,12
2181,Los Angeles International Airport,12
2182,The Balcony Bar,12
2183,Everytown,12
2184,the NL West,12
2185,Kirkland,12
2186,Seaford,12
2187,Colleyville,12
2188,West Street,12
2189,Orlando International Airport,12
2190,Fedex,12
2191,Casa Mexico,12
2192,Jalen Hurts,12
2193,Ileyemi,12
2194,Kendall,12
2195,Clark County,12
2196,Nuñez,12
2197,New Hope,12
2198,Lido,11
2199,Stream,11
2200,the Northern Hemisphere,11
2201,Asheville,11
2202,Saskatchewan,11
2203,Hysteria,11
2204,Fortuna,11
2205,LANSDALE,11
2206,Galloway,11
2207,Vizzy,11
2208,6th Avenue,11
2209,Beethoven,11
2210,communicate,11
2211,Lumberton,11
2212,Atwood,11
2213,Irving Park,11
2214,the bay area,11
2215,MICHIGAN,11
2216,Deer Island,11
2217,Azerbaijan,11
2218,Blair County,11
2219,Mogadishu,11
2220,Lake Forest,11
2221,Tuomaala,11
2222,Los Mochis,11
2223,Bay,11
2224,Haaland,11
2225,D-Pa.,11
2226,Zyesami,11
2227,Kenosha,11
2228,5201 Parkside Avenue,11
2229,Irvine,11
2230,Chesco,11
2231,Tristan,11
2232,Brevard County,11
2233,Ferrara,11
2234,Spurs,11
2235,Oklahoma State,11
2236,Dodger Stadium,11
2237,the United States District Court,11
2238,Turin,11
2239,the City,11
2240,Sunshine,11
2241,Kuemper,11
2242,Alfa,11
2243,San Joaquín,11
2244,Memorial Garden,11
2245,Korkmaz,11
2246,Northeast Philadelphia Airport,11
2247,Milton,11
2248,Battle Creek,11
2249,Eastern State,11
2250,Culver City,11
2251,Quebec City,11
2252,Wiggins Park,11
2253,the Antonivskyi Bridge,11
2254,virginia,11
2255,the San Fernando Valley,11
2256,Skokie,11
2257,Lockeford,11
2258,Parada,11
2259,Maroon,11
2260,Oxford Circle,11
2261,Opzelura,11
2262,Virgils,11
2263,Lambertville,11
2264,New York Avenue,11
2265,Lansing,11
2266,Mirta,11
2267,Found,11
2268,Cliffside Park,11
2269,Seltzerland,11
2270,Gabriela,11
2271,St. Hubert,11
2272,Swarthmore,11
2273,Osceola County,11
2274,Black America,11
2275,North Shore,11
2276,East Westmoreland,11
2277,Oscars,11
2278,Venom,11
2279,Cherry Hill Mall,11
2280,West Palm Beach,11
2281,the Houston Rockets,11
2282,Pfizer,11
2283,Ybor City,11
2284,NLCS,11
2285,Bangladesh,11
2286,Mali,11
2287,Beverly,11
2288,Chestnut Hill's,11
2289,Angelina,11
2290,Schuylkill River,11
2291,Wynnefield,11
2292,Atlantic Subsea,11
2293,Event Center,11
2294,the Grand Canyon,11
2295,San Antonio's,11
2296,Pennypack Park,11
2297,Nantucket,11
2298,McMahon,11
2299,Vargas,11
2300,Pedrago,11
2301,Tioga,11
2302,Lake Superior,11
2303,France Márquez,11
2304,the Los Angeles International Airport,11
2305,Soldier Field,11
2306,Narberth Park,11
2307,The Navy Yard,11
2308,the Robb Elementary,11
2309,Hawk Hill,11
2310,Manatee County,11
2311,Tournament,11
2312,Tartt,11
2313,Wawa Hoagie Day,11
2314,Bloomsburg,11
2315,Cooley,11
2316,Antioch,11
2317,Joliet,11
2318,PR-189,11
2319,Leyen,11
2320,Cape May's,11
2321,Hernández,11
2322,Point Pleasant Beach,11
2323,Fever,11
2324,Salisbury,11
2325,Neymar,11
2326,The District of Columbia,11
2327,Audubon,11
2328,Croydon,11
2329,Bidens,11
2330,Berkshire,11
2331,Cheltenham Township,11
2332,Bolingbrook,11
2333,Karma,11
2334,Pennsylvania State,11
2335,Baghdad,11
2336,Grille,11
2337,Bancroft,11
2338,Clifton Heights,11
2339,Hawthorne,11
2340,BJay Pak,11
2341,Colorado River,11
2342,Cozen,11
2343,Taipei,11
2344,Santo Domingo,11
2345,Huntley,11
2346,acetaminophen,11
2347,Kramatorsk,11
2348,OpenAI,11
2349,Marin,11
2350,Richmond Street,11
2351,FedEx Field,11
2352,Schwenksville,11
2353,South Carolina’s,11
2354,Saudi Arabia’s,11
2355,the Wilmington River,11
2356,Chatham,11
2357,Bourne,11
2358,Shavuot,11
2359,Runa,11
2360,the Eiffel Tower,11
2361,Chernihiv,11
2362,Cayuga Street,11
2363,Clayton County,11
2364,Alaska Pilot,11
2365,Morrisville,11
2366,Delaware County’s,11
2367,Morris County,11
2368,Clarksburg,11
2369,Central Valley,11
2370,Fourth Street,11
2371,Strada,11
2372,the Roots Picnic,11
2373,Ninth Street,11
2374,Hidalgo County,11
2375,San Juan Bautista,10
2376,Vezina,10
2377,the Starr Tours,10
2378,Paktika,10
2379,Olympia,10
2380,the Edgewood Resort,10
2381,NIAID,10
2382,Miami Gardens,10
2383,Philadelphia City Councilmember,10
2384,Yucatan,10
2385,Uptown,10
2386,Laurel Hill Cemetery,10
2387,Hoskins,10
2388,Kremenchuk,10
2389,Illuminati,10
2390,Zurg,10
2391,Bristol Township,10
2392,VIRGINIA,10
2393,Braxton,10
2394,Route 42,10
2395,the Ashburner Inn,10
2396,Tiana,10
2397,Christianize,10
2398,San Fernando,10
2399,Alejo,10
2400,Pilsen,10
2401,Wawa Station,10
2402,wingspan,10
2403,Edinburgh,10
2404,TENNESSEE,10
2405,AL,10
2406,Maywood,10
2407,Woodmere,10
2408,WEST VIRGINIA,10
2409,Boca Raton,10
2410,SANTA MONICA,10
2411,Inglewood,10
2412,Huntsville,10
2413,the Black Bottom,10
2414,Black Sand Basin,10
2415,vaccinia,10
2416,Stanislaus County,10
2417,Montgomery County Sheriff’s,10
2418,Glencoe,10
2419,Lorena,10
2420,the Erie and,10
2421,Macon,10
2422,Montefiore Cemetery,10
2423,the Mega Ball,10
2424,mexico,10
2425,the Kennedy Center,10
2426,Karl,10
2427,Waco,10
2428,Misael,10
2429,Castle County,10
2430,Bucks,10
2431,Discover,10
2432,Cary,10
2433,Hutchinson,10
2434,Palazuelos,10
2435,the San Francisco Bay Area,10
2436,West Texas,10
2437,Burlington City,10
2438,Landgrebe,10
2439,Golden,10
2440,Managua,10
2441,Elverson,10
2442,Nassib,10
2443,Big East,10
2444,Chew Avenue,10
2445,Lahaska,10
2446,Treglia,10
2447,PENNSYLVANIA,10
2448,Pyongyang,10
2449,the Kimmel Center’s,10
2450,Gusto,10
2451,the North Lunar,10
2452,the Horn of Africa,10
2453,Richboro,10
2454,Shannon Collins,10
2455,Chente,10
2456,OT,10
2457,Convention Hall,10
2458,Upper Township,10
2459,Lafayette,10
2460,Happ,10
2461,Betancourth,10
2462,Sarnia,10
2463,Cobb County,10
2464,Callowhill Street,10
2465,Dekalb County,10
2466,Belong,10
2467,Clayton,10
2468,Chester Springs,10
2469,Bedford,10
2470,the Rio Grande Valley,10
2471,Disney Springs,10
2472,San Joaquín County,10
2473,Huerta,10
2474,Carvana,10
2475,Pensacola,10
2476,Chucky,10
2477,Chester County’s,10
2478,INDIANA,10
2479,transphobia,10
2480,Seabrook,10
2481,Malaga,10
2482,Overbrook Park,10
2483,Taylor County,10
2484,Rio Grande Valley,10
2485,Sarasota County,10
2486,Alameda,10
2487,Wawa,10
2488,Oman,10
2489,Aang,10
2490,the South Lawn,10
2491,the City of Philadelphia’s,10
2492,Isaiah Joe,10
2493,Tamoun,10
2494,Proviso East,10
2495,Time,10
2496,the Lehight Valley,10
2497,Irina Baeva,10
2498,Newcastle,10
2499,Jeffersonville,10
2500,Juliana,10
2501,Oceania,10
2502,Councilmanic District,10
2503,San Andrés,10
2504,Red Sea,10
2505,Stitt,10
2506,Chávez,10
2507,the Independence Hall,10
2508,the State of Texas,10
2509,Liotta,10
2510,Asia-Pacific,10
2511,Straban Township,10
2512,Valentino,10
2513,Park Avenue,10
2514,the South Philly Meadows,10
2515,Naessens,10
2516,Chester City,10
2517,Northwest Philadelphia,10
2518,the East River,10
2519,Ocean City’s,10
2520,Monument Avenue,10
2521,Andalusia,10
2522,Background,10
2523,Venegas,10
2524,Rhawnhurst,10
2525,D-Ill.,10
2526,Burgos,10
2527,Hamilton,10
2528,pergola,10
2529,Wallingford,10
2530,Lehighton,10
2531,Senate District,10
2532,Center County,10
2533,Paradigm Paradigm Gallery + Studio,10
2534,the Water Tower Recreation Center,10
2535,Moore,10
2536,Highland,10
2537,Khalil Mack,10
2538,Gloucester City,10
2539,Northumberland,10
2540,prosopagnosia,10
2541,the United Way,10
2542,Greene County,10
2543,Library,10
2544,CISA,10
2545,D.C. United,10
2546,Soledad,10
2547,Saget,10
2548,Bushwick,10
2549,Granholm,10
2550,San Pablo,10
2551,Ozdemir,10
2552,Mont.,10
2553,Planet Earth,10
2554,Legos,10
2555,Sanford,10
2556,East Village,10
2557,Sunset Park,10
2558,Nottingham,10
2559,Santa Fe,10
2560,McClinton,10
2561,NL,10
2562,Cooper River Park,10
2563,New Britain,10
2564,Tredyffrin Township,10
2565,Ferguson,10
2566,DeKalb County,10
2567,Cape Coral,10
2568,Oslo,10
2569,Career,10
2570,ADDITION,10
2571,Tharpe,10
2572,Trevose,10
2573,Central Florida,10
2574,Lycoming County,10
