,unique_values,counts
331,Roosevelt Boulevard,114
332,South Africa,114
333,Liberia,114
334,Clark Park,111
335,Jalisco,110
336,Congo,110
337,Inquirer,110
338,L.A.,110
339,Phoenixville,109
340,Fairmount,109
341,Rittenhouse Square,109
342,St.,109
343,Kueng,109
344,Bolivia,109
345,Wissahickon,109
346,Uranus,109
347,Kyiv,109
348,Monterrey,108
349,Louisville,108
350,South America,108
351,Ardmore,108
352,ATLANTIC CITY,107
353,LA,107
354,Delaware River,107
355,Egypt,106
356,MD,106
357,Jordan,106
358,Sheffield,106
359,Yellowstone,105
360,NRA,104
361,Media,104
362,Southern California,104
363,New Jersey's,104
364,Havana,104
365,Oaxaca,104
366,LONDON,103
367,Amazon Worth,103
368,Jersey Shore,102
369,the Bay area,102
370,Independence Mall,102
371,Ireland,102
372,Main Street,101
373,Awake America,100
374,Philadelphia International Airport,100
375,Istanbul,99
376,Chiapas,99
377,Odesa,99
378,Rehoboth Beach,99
379,Unimás,99
380,Charleston,99
381,Walnut Street,98
382,VA,98
383,Va.,98
384,Midwest,98
385,Orange County,98
386,Amsterdam,96
387,Netherlands,96
388,Victoria,96
389,Jacksonville,96
390,Brandon,96
391,Franklin Square,96
392,Spotify,95
393,Bensalem,95
394,Denmark,94
395,Queen Village,94
396,Greece,94
397,Montreal,94
398,States,93
399,Jeopardy,93
400,Upper Darby,92
401,Singapore,92
402,Jamaica,92
403,Robb Elementary,92
404,Jefferson,91
405,Berks County,91
406,Washington D.C.,91
407,Mediterranean,91
408,Switzerland,90
409,San Jose,90
410,Morocco,89
411,Milan,89
412,Tiktok,88
413,Hammonton,88
414,Savannah,88
415,Nationals,88
416,Indonesia,88
417,Delta,88
418,Frankford,88
419,Capricorn,87
420,the NL East,87
421,Birmingham,87
422,The City of Philadelphia,86
423,Morey,86
424,Scotland,86
425,Sea Isle City,86
426,Cape May County,85
427,Norway,85
428,Jerusalem,85
429,Michoacán,84
430,Kenya,84
431,Ill.,84
432,Malvern,84
433,East Coast,84
434,the City of Brotherly Love,84
435,Franklin County,84
436,North Korea,83
437,Alberta,82
438,Bethlehem,81
439,the Gulf of Mexico,81
440,Eflin,81
441,SAN FRANCISCO,81
442,Tapachula,81
443,TRAINER,81
444,the Ben Franklin Parkway,80
445,Juneteenth,80
446,Gloucester County,80
447,KD,80
448,Notre Dame,80
449,Telemundo62,79
450,Lake County,79
451,Girard Avenue,79
452,Ontario,78
453,CHICAGO,78
454,East Passyunk,78
455,Pakistan,78
456,the Atlantic Ocean,77
457,the Black Sea,77
458,Aiden,77
459,Dilworth Park,76
460,Ethiopia,76
461,Lancaster,76
462,North Jersey,75
463,Panama,75
464,Ottawa,75
465,Omaha,74
466,Chick,74
467,New York's,73
468,North Broad Street,72
469,Bahamas,72
470,Springfield Township,72
471,Belgium,71
472,Great Britain,71
473,Puerto,71
474,Calgary,71
475,Morelos,71
476,the Golden State Warriors,71
477,Sirianni,71
478,Bangkok,70
479,Kamala,70
480,the Garden State,70
481,South Florida,70
482,Vancouver,70
483,u.s.,70
484,West Oak Lane,70
485,Veracruz,70
486,Baja,69
487,Lysychansk,69
488,East Germantown,69
489,N.C.,69
490,Salem,69
491,Sánchez,69
492,Md.,69
493,Wales,69
494,Lebanon,68
495,Dover,68
496,U.S,68
497,South St.,67
498,Doylestown,67
499,Toledo,67
500,4th Street,67
501,the School District of Philadelphia,67
502,Moderna,67
503,the Event Center at Live!,67
504,Alfredo,66
505,Adrián,66
506,the Eastern District,65
507,the Benjamin Franklin Parkway,65
508,York,65
509,Jenkintown,65
510,Stockton,65
511,Derby,65
512,Realmuto,64
513,Chester,64
514,Coatesville,64
515,Chinatown,64
516,Santa Ana,64
517,Fahrenheit,64
518,Dallas County,64
519,Miami Beach,64
520,Frankford Avenue,63
521,Harlem,63
522,Kensington Avenue,63
523,Black Sea,63
524,Dobbs,63
525,Hungary,63
526,Tops,63
527,Lansdale,62
528,Krasner,62
529,Langhorne,62
530,Pasadena,62
531,White,62
532,Oklahoma City,62
533,Verónica,62
534,Long Beach,61
535,Shanghai,61
536,the United States of America,61
537,P.S.,61
538,Gettysburg,61
539,St. Joe’s,61
540,San Bernardino,61
541,Curry,61
542,New Castle County,60
543,Albany,60
544,AI,60
545,Long Beach Island,60
546,Tehran,59
547,Malta,59
548,HOUSTON,59
549,Cumberland,59
550,Spruce Street Harbor Park,59
551,the Soviet Union,59
552,Holland,59
553,the Fashion District,59
554,Turpin,59
555,Moniak,58
556,Amazon Prime,58
557,West Nile,58
558,ROE,58
559,Cumberland County,58
560,Atlantic City’s,58
561,Strawberry Mansion,58
562,Taurus,58
563,Silicon Valley,58
564,Barstool,57
565,AC,57
566,Central Park,57
567,Xavier,57
568,Khashoggi,57
569,Staten Island,57
570,Rochester,57
571,Madison Square Garden,57
572,Riverside County,56
573,Mass.,56
574,Fairfax,56
575,Belmont,56
576,Santa Clara,56
577,the NFC East,56
578,Mercer County,56
579,Raleigh,55
580,DALLAS,55
581,City,55
582,Fire Island,55
583,Murdaugh,55
584,West Africa,55
585,Snyder Avenue,55
586,marijuana,55
587,Shanahan,55
588,Knebel,55
589,Somalia,55
590,Sarasota,54
591,The Center Square,54
592,Medellín,54
593,Henderson,54
594,the United Arab Emirates,54
595,Aries,54
596,Yemen,54
597,Gulf,54
598,King of Prussia,54
599,Evaluna,54
600,Ghana,54
601,Pelosi,54
602,Vinnytsia,54
603,the Mann Center,54
604,Cambodia,54
605,Spring Garden,53
606,5th Street,53
607,Subaru Park,53
608,Tenn.,53
609,Nile,53
610,Beverly Hills,53
611,Pandemia,53
612,Quebec,53
613,Dubai,52
614,Laredo,52
615,Dominican Republic,52
616,Lake Michigan,52
617,Eakins Oval,52
618,Yuma,52
619,Street,52
620,Univisión,52
621,West Coast,52
622,Nicetown,52
623,the Lehigh Valley,52
624,Sydney,52
625,Conn.,51
626,Columbia,51
627,the West Coast,51
628,Delaware Valley,51
629,Sportradar,51
630,Uruguay,51
631,Danielle,50
632,East Falls,50
633,Hulu,50
634,Edmonton,50
635,St. Petersburg,50
636,Valley,50
637,Centre County,50
638,Southeastern Pennsylvania,50
639,Sri Lanka,50
640,Longwood Gardens,49
641,Romania,49
642,ER,49
643,Elkins Park,49
644,Neptune,49
645,The Oval XP,49
646,North Wildwood,49
647,the West Bank,49
648,Georgetown,49
649,Northeast Philly,49
650,Wayne,49
651,Providence,49
652,Burlington,49
653,Fort Lauderdale,48
654,Fulton County,48
655,TEXAS,48
656,South Texas,48
657,the Hudson River,48
658,the Robb Elementary School,48
659,El Monte,48
660,Atlantic City's,48
661,Lima,48
662,Tallahassee,48
663,Sesame Street,48
664,LOVE Park,48
665,El Gordo,48
666,NJ,47
667,Aramark,47
668,United Kingdom,47
669,Zeoli,47
670,Marvel,47
671,Ridley Park,47
672,South Broad Street,47
673,St. Joseph’s,47
674,CAMDEN,47
675,Anaheim,47
676,Reading,47
677,Cook County,47
678,Vineland,47
679,Fairhill,47
680,Ridge Avenue,47
681,Miami-Dade County,47
682,Paxton,46
683,Modesto,46
684,Sofia,46
685,Jurgens,46
686,Tatum,46
687,Tel Aviv,46
688,the Oval Office,46
689,Gayborhood,46
690,Myrtle Beach,46
691,Sacramento County,46
692,the Art Museum,46
693,the Keystone State,45
694,UU,45
695,the National Mall,45
696,Welcome America,45
697,philadelphia,45
698,Lexington,45
699,Santa Monica,45
700,Belarus,44
701,Manila,44
702,Cecil B. Moore Avenue,44
703,Seoul,44
704,Northern California,44
705,Alexandria,44
706,Pastorius Park,44
707,Lancaster Avenue,44
708,Watts,44
709,Broward,44
710,Wisin,44
711,Downingtown,44
712,D-Calif.,44
713,Madison,44
714,Magic Gardens,43
715,Eastern Europe,43
716,Jersey City,43
717,D-Md.,43
718,Minn.,43
719,Honolulu,43
720,Guam,43
721,Brussels,43
722,Hunting Park Avenue,43
723,Kobe,43
724,Vecna,42
725,Lithuania,42
726,Somerton,42
727,Haverford Avenue,42
728,Thorpe,42
729,Premium,42
730,Malaysia,42
731,Rockland County,42
732,Nacho,42
733,Kennett Square,42
734,Hershey,42
735,NFC East,42
736,New Castle,42
737,Acapulco,42
738,Medina,42
739,Johnston,42
740,Cambridge,41
741,Hurricanes,41
742,East Passyunk Avenue,41
743,New York State,41
744,Sahara,41
745,Clarke,41
746,Millville,41
747,Sinopoli,41
748,Logan Square,41
749,Ga.,41
750,Lake Mead,41
751,Buckingham Palace,41
752,Sasha,41
753,Madden,41
754,the Underground Railroad,41
755,52nd Street,41
756,metro,40
757,Albuquerque,40
758,Santa Clara County,40
759,Android,40
760,Baton Rouge,40
761,Bulgaria,40
762,Fort Mifflin,40
763,Casa,40
764,Athens,40
765,Thomas,40
766,Key,40
767,the Wells Fargo Center,39
768,York County,39
769,Hartford,39
770,Garland,39
771,Caracas,39
772,L Street,39
773,Bucaramanga,39
774,ATLANTA,39
775,Valentina,39
776,Vienna,39
777,Thalia,39
778,Appel,39
779,West Point,39
780,South Streets,39
781,Canton,39
782,Front Street,39
783,Broward County,39
784,Olney,38
785,Fort,38
786,Batsto Village,38
787,British Columbia,38
788,Sheetz,38
789,NOTEWORTHY,38
790,New York City FC,38
791,Congressional District,38
792,Penylvania,38
793,Atlantic County,38
794,Medford,38
795,T62,38
796,South Philly’s,38
797,Nola,38
798,Paulina,38
799,Ky.,38
800,Fairfax County,38
801,Society Hill,38
802,Collingswood,38
803,Ore.,38
804,the School District,38
805,Conshohocken,38
806,Trivia,38
807,Korea,37
808,Smithsburg,37
809,Hudson,37
810,Riverside,37
811,Marlton,37
812,Logan,37
813,Irma,37
814,Valley Forge,37
815,Chestnut Hill Hospital,37
816,New Haven,37
817,Princeton,37
818,Somerset,37
819,Croatia,37
820,Mich.,37
821,Uganda,37
822,Asbury Park,37
823,Poconos,36
824,Capitol Hill,36
825,the Waterfall Room,36
826,Torah,36
827,30th Street Station,36
828,the Colorado River,36
829,El Universal,36
830,Astros,36
831,Southwest Philly,36
832,Berkeley,36
833,Teresa,36
834,Austria,36
835,Philadelphia City,35
836,the Mullica River,35
837,Reno,35
838,Des Moines,35
839,Travis County,35
840,Mo.,35
841,Hale Street,35
842,Ivanka,35
843,Venice,35
844,earth,35
845,Myanmar,35
846,Egg Harbor Township,35
847,Liverpool,35
848,Temple,35
849,Wissahickon Trail,34
850,Costa,34
851,premises,34
852,Philadelphia City Hall,34
853,the Schuylkill River Trail,34
854,Western Pennsylvania,34
855,the Kimmel Center,34
856,Christian Street,34
857,Acme,34
858,Iceland,34
859,Lehight County,34
860,G7,34
861,Cobbs Creek Park,34
862,Gainesville,34
863,Stanley Cup,34
864,Erie,34
865,Flint,34
866,Sandberg,34
867,AUSTIN,34
868,Newtown Square,34
869,Northampton County,34
870,Braddock,34
871,the Pacific Ocean,34
872,Green Bay,34
873,Cristina,34
874,Filadelfia,33
875,WR,33
876,B.S.,33
877,FedEx,33
878,Ala.,33
879,Sheremetyevo Airport,33
880,Middletown,33
881,Tacoma,33
882,Donkey Kong,33
883,Times Square,33
884,Belichick,33
885,Stockholm,33
886,Kern County,33
887,Leo,33
888,the west coast,33
889,the Center City District,33
890,Santa Barbara,33
891,Western Europe,33
892,Akron,33
893,Petro,33
894,Syracuse,33
895,the Philadelphia Museum of Art,33
896,Juniata Park,33
897,Old City’s,33
898,Hustle,32
899,Davos,32
900,3rd Street,32
901,Mullica Hill,32
902,Lakewood,32
903,DOVER,32
904,County,32
905,San Luis,32
906,San francisco,32
907,the Hall of Fame,32
908,Wyalusing Avenue,32
909,Philadelphia County,32
910,Yosemite National Park,32
911,Martinez,32
912,Miss.,32
913,the Philadelphia International Airport,32
914,Southampton,32
915,M.D.,32
916,Libra,32
917,Washington Township,32
918,Center City’s,31
919,San Francisco's,31
920,NC,31
921,Palestine,31
922,11th Street,31
923,Bastille Day,31
924,Uvalde County,31
925,Kharkiv,31
926,Charlottesville,31
927,Pennsylvania Avenue,31
928,Roxborough,31
929,Hard Rock,31
930,Sea Isle,31
931,El Chapo',31
932,Woodland,31
933,Allegheny Avenue,31
934,Dewey Beach,31
935,Khimki,31
936,Huntingdon Valley,31
937,Irving,31
938,Baltimore Avenue,31
939,Baja California,31
940,Fort Myers,31
941,Fairmount Avenue,31
942,Market Streets,31
943,Pensylvania,31
944,Selena,30
945,Warrington,30
946,Virginia Beach,30
947,Nataly,30
948,Middle East,30
949,Arden,30
950,Village,30
951,Darby,30
952,West Indiana Avenue,30
953,Race Street,30
954,Southeast Asia,30
955,Gauthier,30
956,Bustleton Avenue,30
957,Wissinoming,30
958,Nara,30
959,Glassboro,30
960,Spring Garden Street,30
961,Rafael,30
962,Darien,30
963,Colo.,30
964,Melbourne,30
965,the Central Valley,30
966,Coulter Street,30
967,Lincoln Drive,30
968,Montgomery County District,30
969,Kingsessing,29
970,the Delaware Bay,29
971,Wuhan,29
972,Colorado Springs,29
973,the Broad Street Line,29
974,the Caribbean Sea,29
975,McCowan,29
976,Fashion District Philadelphia,29
977,the Bay Area,29
978,Corona,29
979,Guerrero,29
980,​​of,29
981,Jada,29
982,Ventura,29
983,Center City District,29
984,Snacktime,29
985,Brewerytown,29
986,Bingo,29
987,Grays Ferry Avenue,29
988,Arenado,29
989,New York City’s,29
990,Aurora,29
991,Quakertown,29
992,Horsham,28
993,Dublin,28
994,Grays Ferry,28
995,West Bank,28
996,Ricky,28
997,Nielsen,28
998,St. Paul,28
999,Verizon,28
1000,S.C.,28
1001,Foles,28
1002,Ángela,28
1003,Longport,28
1004,Lemoine,28
1005,the Miami Heat,28
1006,San Marcos,28
1007,Machado,28
1008,Youth Awards,28
1009,Sussex County,28
1010,North 13th Street,28
1011,Bustleton,28
1012,WEST CHESTER,28
1013,Shamong,28
1014,Grand Rapids,28
1015,Cheddar,28
1016,American Street,27
1017,Cameroon,27
1018,Woodbury,27
1019,Camp Hill,27
1020,Jeddah,27
1021,Easton,27
1022,JD,27
1023,Target,27
1024,Insomnia Cookies,27
1025,Burrow,27
1026,Naples,27
1027,Allegheny,27
1028,the Vine Street Expressway,27
1029,Love Park,27
1030,Fayetteville,27
1031,Kelly Drive,27
1032,Logan Circle,27
1033,the Wild West,27
1034,Gloria,27
1035,Brownsville,27
1036,Asomugha,27
1037,the Event Center,27
1038,Daytona Beach,27
1039,Boulder,27
1040,Homolka,27
